transaction_id,customer_id,product_id,transaction_date,quantity,unit_price,total_amount,channel
TXN_000045,CUST_0496,PROD_EXH_032,2024-08-11,1,30.22,30.22,In-store
TXN_000046,CUST_0273,PROD_MER_023,2024-05-25,1,25.59,25.59,In-store
TXN_000047,CUST_0639,PROD_MER_026,2024-01-28,1,10.99,10.99,Online
TXN_000048,CUST_0050,PROD_MER_041,2024-08-10,2,21.03,42.06,In-store
TXN_000049,CUST_0764,PROD_EXH_044,2024-01-28,1,16.53,16.53,Online
TXN_000050,CUST_0404,PROD_ART_050,2024-04-09,1,29.52,29.52,In-store
TXN_000051,CUST_0256,PROD_MER_004,2024-12-10,1,32.21,32.21,In-store
TXN_000052,CUST_0323,PROD_MER_018,2024-10-29,2,18.68,37.36,In-store
TXN_000053,CUST_0421,PROD_LIM_050,2024-02-08,1,165.18,165.18,In-store
TXN_000054,CUST_0797,PROD_MER_048,2024-06-25,1,11.49,11.49,In-store
TXN_000055,CUST_0063,PROD_MER_048,2024-10-14,1,11.49,11.49,In-store
TXN_000056,CUST_0425,PROD_MER_032,2024-11-21,1,28.65,28.65,In-store
TXN_000057,CUST_0209,PROD_ART_015,2024-09-25,1,32.09,32.09,In-store
TXN_000058,CUST_0726,PROD_MER_007,2024-08-03,1,25.17,25.17,In-store
TXN_000059,CUST_0001,PROD_EXH_013,2024-10-19,2,23.07,46.14,In-store
TXN_000060,CUST_0151,PROD_EXH_047,2024-02-11,3,18.43,55.29,Online
TXN_000061,CUST_0492,PROD_EXH_008,2024-09-28,1,18.95,18.95,Online
TXN_000062,CUST_0771,PROD_MER_035,2024-10-28,1,10.86,10.86,In-store
TXN_000063,CUST_0264,PROD_ART_023,2024-04-06,2,71.17,142.34,In-store
TXN_000064,CUST_0741,PROD_EXH_021,2024-05-22,1,23.42,23.42,In-store
TXN_000065,CUST_0737,PROD_ART_044,2024-09-17,1,37.11,37.11,In-store
TXN_000066,CUST_0202,PROD_MER_026,2024-06-08,1,10.99,10.99,In-store
TXN_000067,CUST_0715,PROD_EXH_003,2024-12-02,1,41.78,41.78,Online
TXN_000068,CUST_0672,PROD_ART_035,2024-09-25,2,73.25,146.5,In-store
TXN_000069,CUST_0423,PROD_EXH_001,2024-08-17,4,28.04,112.16,In-store
TXN_000070,CUST_0086,PROD_EXH_010,2024-03-31,1,44.12,44.12,In-store
TXN_000071,CUST_0105,PROD_EXH_022,2024-10-25,1,32.73,32.73,Online
TXN_000072,CUST_0172,PROD_ART_010,2024-09-26,1,68.36,68.36,Online
TXN_000073,CUST_0780,PROD_ART_004,2024-02-14,1,63.18,63.18,In-store
TXN_000074,CUST_0475,PROD_LIM_016,2024-09-05,1,525.18,525.18,In-store
TXN_000075,CUST_0381,PROD_EXH_004,2024-05-03,1,20.12,20.12,In-store
TXN_000076,CUST_0108,PROD_EXH_031,2024-07-27,1,30.95,30.95,Online
TXN_000077,CUST_0220,PROD_MER_012,2024-09-15,1,16.17,16.17,In-store
TXN_000078,CUST_0296,PROD_ART_005,2024-04-28,1,36.85,36.85,In-store
TXN_000079,CUST_0127,PROD_ART_027,2024-03-28,1,37.01,37.01,Online
TXN_000080,CUST_0187,PROD_EXH_011,2024-03-15,1,23.15,23.15,Online
TXN_000081,CUST_0562,PROD_ART_038,2024-10-27,1,54.22,54.22,Online
TXN_000082,CUST_0547,PROD_ART_005,2024-07-13,3,36.85,110.55,Online
TXN_000083,CUST_0354,PROD_MER_038,2024-04-18,1,31.59,31.59,In-store
TXN_000084,CUST_0423,PROD_ART_049,2024-10-13,4,53.46,213.84,In-store
TXN_000085,CUST_0399,PROD_EXH_048,2024-09-27,1,39.01,39.01,In-store
TXN_000086,CUST_0252,PROD_MER_005,2024-12-24,1,34.87,34.87,In-store
TXN_000087,CUST_0400,PROD_ART_020,2024-05-03,1,32.01,32.01,In-store
TXN_000088,CUST_0024,PROD_ART_018,2024-03-19,1,48.18,48.18,In-store
TXN_000089,CUST_0148,PROD_MER_001,2024-11-16,1,13.68,13.68,In-store
TXN_000090,CUST_0448,PROD_MER_005,2024-08-01,1,34.87,34.87,Online
TXN_000091,CUST_0622,PROD_LIM_048,2024-12-09,1,175.35,175.35,Online
TXN_000092,CUST_0440,PROD_EXH_024,2024-05-12,1,16.48,16.48,Online
TXN_000093,CUST_0047,PROD_ART_003,2024-03-14,1,29.24,29.24,Online
TXN_000094,CUST_0758,PROD_MER_029,2024-10-20,1,32.74,32.74,Online
TXN_000095,CUST_0456,PROD_MER_045,2024-12-20,2,30.69,61.38,In-store
TXN_000096,CUST_0669,PROD_EXH_043,2024-06-13,1,40.89,40.89,In-store
TXN_000097,CUST_0390,PROD_ART_044,2024-09-30,1,37.11,37.11,In-store
TXN_000098,CUST_0059,PROD_ART_042,2024-05-08,1,56.53,56.53,Online
TXN_000099,CUST_0511,PROD_ART_035,2024-06-09,1,73.25,73.25,In-store
TXN_000100,CUST_0287,PROD_MER_038,2024-09-30,2,31.59,63.18,In-store
TXN_000101,CUST_0343,PROD_ART_040,2024-04-17,4,48.61,194.44,In-store
TXN_000102,CUST_0641,PROD_MER_001,2024-04-13,1,13.68,13.68,In-store
TXN_000103,CUST_0090,PROD_EXH_010,2024-01-06,1,44.12,44.12,Online
TXN_000104,CUST_0308,PROD_ART_039,2024-10-01,1,68.7,68.7,Online
TXN_000105,CUST_0003,PROD_EXH_048,2024-09-20,1,39.01,39.01,In-store
TXN_000106,CUST_0514,PROD_MER_023,2024-05-11,1,25.59,25.59,Online
TXN_000107,CUST_0037,PROD_EXH_029,2024-09-17,1,39.5,39.5,In-store
TXN_000108,CUST_0646,PROD_EXH_027,2024-02-19,1,21.56,21.56,In-store
TXN_000109,CUST_0762,PROD_EXH_003,2024-03-21,1,41.78,41.78,In-store
TXN_000110,CUST_0196,PROD_EXH_028,2024-12-07,1,42.95,42.95,Online
TXN_000111,CUST_0231,PROD_EXH_005,2024-09-20,1,33.94,33.94,Online
TXN_000112,CUST_0108,PROD_MER_008,2024-05-25,1,19.64,19.64,In-store
TXN_000113,CUST_0563,PROD_ART_037,2024-07-03,4,74.08,296.32,In-store
TXN_000114,CUST_0322,PROD_MER_030,2024-09-30,1,18.84,18.84,In-store
TXN_000115,CUST_0612,PROD_ART_044,2024-10-14,2,37.11,74.22,In-store
TXN_000116,CUST_0284,PROD_MER_041,2024-02-20,1,21.03,21.03,Online
TXN_000117,CUST_0670,PROD_MER_018,2024-09-20,1,18.68,18.68,In-store
TXN_000118,CUST_0083,PROD_MER_043,2024-01-19,1,31.64,31.64,In-store
TXN_000119,CUST_0626,PROD_MER_018,2024-06-27,1,18.68,18.68,Online
TXN_000120,CUST_0403,PROD_EXH_032,2024-02-15,2,30.22,60.44,In-store
TXN_000121,CUST_0415,PROD_ART_050,2024-04-05,1,29.52,29.52,In-store
TXN_000122,CUST_0198,PROD_MER_016,2024-11-21,2,18.56,37.12,Online
TXN_000123,CUST_0306,PROD_LIM_035,2024-12-23,1,765.32,765.32,In-store
TXN_000124,CUST_0359,PROD_EXH_005,2024-10-15,2,33.94,67.88,Online
TXN_000125,CUST_0449,PROD_MER_017,2024-08-06,1,34.16,34.16,In-store
TXN_000126,CUST_0470,PROD_ART_007,2024-01-11,1,41.72,41.72,In-store
TXN_000127,CUST_0256,PROD_EXH_030,2024-11-23,1,33.51,33.51,Online
TXN_000128,CUST_0344,PROD_MER_025,2024-03-24,1,28.27,28.27,In-store
TXN_000129,CUST_0009,PROD_MER_033,2024-11-15,1,11.44,11.44,In-store
TXN_000130,CUST_0257,PROD_MER_029,2024-09-02,2,32.74,65.48,In-store
TXN_000131,CUST_0281,PROD_MER_013,2024-07-22,2,21.01,42.02,In-store
TXN_000132,CUST_0226,PROD_LIM_006,2024-04-17,2,539.15,1078.3,In-store
TXN_000133,CUST_0594,PROD_EXH_033,2024-07-02,1,15.89,15.89,In-store
TXN_000134,CUST_0232,PROD_EXH_030,2024-10-29,1,33.51,33.51,Online
TXN_000135,CUST_0578,PROD_EXH_006,2024-03-26,1,38.66,38.66,Online
TXN_000136,CUST_0650,PROD_ART_025,2024-03-10,2,55.76,111.52,In-store
TXN_000137,CUST_0090,PROD_EXH_044,2024-03-06,1,16.53,16.53,In-store
TXN_000138,CUST_0466,PROD_MER_004,2024-10-17,2,32.21,64.42,Online
TXN_000139,CUST_0246,PROD_EXH_029,2024-09-10,1,39.5,39.5,In-store
TXN_000140,CUST_0774,PROD_MER_028,2024-09-20,1,13.31,13.31,In-store
TXN_000141,CUST_0763,PROD_EXH_040,2024-04-16,1,35.24,35.24,Online
TXN_000142,CUST_0084,PROD_EXH_013,2024-02-01,3,23.07,69.21,In-store
TXN_000143,CUST_0700,PROD_ART_038,2024-03-20,2,54.22,108.44,In-store
TXN_000144,CUST_0695,PROD_MER_011,2024-04-10,1,23.54,23.54,In-store
TXN_000145,CUST_0253,PROD_ART_046,2024-09-10,1,75.03,75.03,In-store
TXN_000146,CUST_0726,PROD_ART_044,2024-10-29,2,37.11,74.22,In-store
TXN_000147,CUST_0309,PROD_MER_001,2024-03-25,1,13.68,13.68,In-store
TXN_000148,CUST_0759,PROD_MER_006,2024-06-01,1,34.6,34.6,In-store
TXN_000149,CUST_0073,PROD_EXH_050,2024-02-13,1,32.89,32.89,Online
TXN_000150,CUST_0068,PROD_LIM_004,2024-10-01,1,584.57,584.57,In-store
TXN_000151,CUST_0625,PROD_EXH_008,2024-01-07,1,18.95,18.95,Online
TXN_000152,CUST_0381,PROD_EXH_009,2024-08-07,1,26.54,26.54,Online
TXN_000153,CUST_0309,PROD_EXH_024,2024-10-18,1,16.48,16.48,In-store
TXN_000154,CUST_0127,PROD_MER_037,2024-09-11,1,22.82,22.82,In-store
TXN_000155,CUST_0038,PROD_LIM_045,2024-11-06,2,465.63,931.26,In-store
TXN_000156,CUST_0149,PROD_LIM_042,2024-09-11,1,386.99,386.99,In-store
TXN_000157,CUST_0300,PROD_EXH_001,2024-07-27,3,28.04,84.12,In-store
TXN_000158,CUST_0780,PROD_EXH_042,2024-07-01,2,39.64,79.28,Online
TXN_000159,CUST_0423,PROD_ART_013,2024-09-14,2,34.3,68.6,In-store
TXN_000160,CUST_0501,PROD_MER_031,2024-04-03,1,31.75,31.75,In-store
TXN_000161,CUST_0701,PROD_MER_037,2024-09-28,1,22.82,22.82,In-store
TXN_000162,CUST_0686,PROD_EXH_034,2024-07-28,2,36.07,72.14,In-store
TXN_000163,CUST_0072,PROD_ART_050,2024-03-20,3,29.52,88.56,In-store
TXN_000164,CUST_0571,PROD_MER_026,2024-09-28,1,10.99,10.99,In-store
TXN_000165,CUST_0105,PROD_MER_015,2024-08-02,2,14.43,28.86,Online
TXN_000166,CUST_0703,PROD_MER_025,2024-01-31,1,28.27,28.27,Online
TXN_000167,CUST_0153,PROD_EXH_014,2024-08-11,4,17.13,68.52,In-store
TXN_000168,CUST_0354,PROD_ART_029,2024-05-26,2,39.48,78.96,In-store
TXN_000169,CUST_0732,PROD_ART_047,2024-03-26,3,72.77,218.31,In-store
TXN_000170,CUST_0121,PROD_EXH_003,2024-10-08,1,41.78,41.78,In-store
TXN_000171,CUST_0633,PROD_EXH_027,2024-05-01,1,21.56,21.56,Online
TXN_000172,CUST_0071,PROD_ART_043,2024-04-16,4,28.5,114.0,Online
TXN_000173,CUST_0262,PROD_MER_009,2024-09-09,1,23.54,23.54,In-store
TXN_000174,CUST_0433,PROD_EXH_006,2024-05-28,2,38.66,77.32,In-store
TXN_000175,CUST_0517,PROD_EXH_010,2024-12-17,1,44.12,44.12,Online
TXN_000176,CUST_0245,PROD_MER_034,2024-10-03,1,16.89,16.89,In-store
TXN_000177,CUST_0009,PROD_MER_046,2024-04-17,2,30.16,60.32,In-store
TXN_000178,CUST_0207,PROD_ART_006,2024-04-15,1,36.7,36.7,In-store
TXN_000179,CUST_0364,PROD_EXH_023,2024-05-10,2,15.17,30.34,In-store
TXN_000180,CUST_0578,PROD_ART_013,2024-07-20,2,34.3,68.6,In-store
TXN_000181,CUST_0249,PROD_MER_026,2024-07-31,1,10.99,10.99,In-store
TXN_000182,CUST_0791,PROD_EXH_018,2024-07-08,2,23.3,46.6,In-store
TXN_000183,CUST_0496,PROD_EXH_039,2024-01-30,1,36.42,36.42,In-store
TXN_000184,CUST_0049,PROD_MER_006,2024-06-17,2,34.6,69.2,In-store
TXN_000185,CUST_0298,PROD_MER_011,2024-08-10,1,23.54,23.54,In-store
TXN_000186,CUST_0296,PROD_EXH_011,2024-07-08,1,23.15,23.15,In-store
TXN_000187,CUST_0042,PROD_MER_041,2024-09-06,1,21.03,21.03,Online
TXN_000188,CUST_0589,PROD_MER_050,2024-01-31,1,11.56,11.56,In-store
TXN_000189,CUST_0784,PROD_ART_010,2024-10-04,4,68.36,273.44,Online
TXN_000190,CUST_0463,PROD_LIM_001,2024-05-08,1,638.27,638.27,Online
TXN_000191,CUST_0084,PROD_EXH_045,2024-01-14,1,16.79,16.79,Online
TXN_000192,CUST_0530,PROD_LIM_049,2024-08-27,1,419.2,419.2,Online
TXN_000193,CUST_0349,PROD_EXH_030,2024-03-11,1,33.51,33.51,Online
TXN_000194,CUST_0143,PROD_ART_001,2024-07-15,3,72.07,216.21,Online
TXN_000195,CUST_0076,PROD_EXH_030,2024-04-15,3,33.51,100.53,In-store
TXN_000196,CUST_0604,PROD_EXH_044,2024-07-12,1,16.53,16.53,In-store
TXN_000197,CUST_0137,PROD_EXH_003,2024-09-29,1,41.78,41.78,Online
TXN_000198,CUST_0224,PROD_ART_026,2024-10-24,1,73.0,73.0,In-store
TXN_000199,CUST_0105,PROD_MER_020,2024-10-15,1,25.66,25.66,In-store
TXN_000200,CUST_0511,PROD_ART_038,2024-03-14,1,54.22,54.22,In-store
TXN_000201,CUST_0753,PROD_EXH_021,2024-07-17,1,23.42,23.42,In-store
TXN_000202,CUST_0451,PROD_MER_025,2024-03-15,1,28.27,28.27,Online
TXN_000203,CUST_0483,PROD_ART_035,2024-01-22,3,73.25,219.75,In-store
TXN_000204,CUST_0008,PROD_EXH_033,2024-04-15,1,15.89,15.89,Online
TXN_000205,CUST_0241,PROD_ART_029,2024-02-15,1,39.48,39.48,In-store
TXN_000206,CUST_0234,PROD_ART_018,2024-03-06,1,48.18,48.18,In-store
TXN_000207,CUST_0162,PROD_EXH_008,2024-05-11,1,18.95,18.95,In-store
TXN_000208,CUST_0590,PROD_LIM_016,2024-09-05,1,525.18,525.18,In-store
TXN_000209,CUST_0302,PROD_ART_034,2024-11-24,1,27.65,27.65,In-store
TXN_000210,CUST_0699,PROD_LIM_045,2024-03-28,1,465.63,465.63,In-store
TXN_000211,CUST_0476,PROD_MER_045,2024-05-05,1,30.69,30.69,In-store
TXN_000212,CUST_0505,PROD_EXH_013,2024-10-24,1,23.07,23.07,In-store
TXN_000213,CUST_0139,PROD_ART_028,2024-01-11,2,54.74,109.48,In-store
TXN_000214,CUST_0142,PROD_ART_032,2024-01-01,1,29.08,29.08,In-store
TXN_000215,CUST_0486,PROD_MER_005,2024-09-24,1,34.87,34.87,In-store
TXN_000216,CUST_0343,PROD_ART_046,2024-08-26,3,75.03,225.09,In-store
TXN_000217,CUST_0375,PROD_ART_018,2024-02-07,1,48.18,48.18,Online
TXN_000218,CUST_0222,PROD_EXH_047,2024-03-25,1,18.43,18.43,Online
TXN_000219,CUST_0202,PROD_ART_049,2024-06-11,1,53.46,53.46,Online
TXN_000220,CUST_0714,PROD_EXH_017,2024-10-01,1,42.22,42.22,Online
TXN_000221,CUST_0771,PROD_EXH_015,2024-03-15,2,15.09,30.18,In-store
TXN_000222,CUST_0398,PROD_MER_038,2024-01-02,1,31.59,31.59,In-store
TXN_000223,CUST_0099,PROD_ART_014,2024-08-31,4,50.32,201.28,In-store
TXN_000224,CUST_0145,PROD_MER_048,2024-02-25,1,11.49,11.49,In-store
TXN_000225,CUST_0744,PROD_LIM_049,2024-05-30,1,419.2,419.2,Online
TXN_000226,CUST_0010,PROD_EXH_032,2024-02-22,1,30.22,30.22,In-store
TXN_000227,CUST_0341,PROD_MER_044,2024-10-23,1,21.4,21.4,In-store
TXN_000228,CUST_0707,PROD_EXH_041,2024-04-22,1,39.71,39.71,In-store
TXN_000229,CUST_0551,PROD_EXH_024,2024-01-13,2,16.48,32.96,In-store
TXN_000230,CUST_0148,PROD_EXH_050,2024-04-16,1,32.89,32.89,Online
TXN_000231,CUST_0120,PROD_ART_001,2024-09-27,1,72.07,72.07,In-store
TXN_000232,CUST_0652,PROD_MER_006,2024-05-12,1,34.6,34.6,Online
TXN_000233,CUST_0683,PROD_EXH_011,2024-12-15,1,23.15,23.15,Online
TXN_000234,CUST_0336,PROD_MER_013,2024-05-29,1,21.01,21.01,In-store
TXN_000235,CUST_0239,PROD_MER_044,2024-04-18,2,21.4,42.8,Online
TXN_000236,CUST_0556,PROD_ART_024,2024-10-25,1,77.95,77.95,Online
TXN_000237,CUST_0139,PROD_LIM_003,2024-10-18,1,637.4,637.4,In-store
TXN_000238,CUST_0671,PROD_LIM_039,2024-09-21,2,664.62,1329.24,In-store
TXN_000239,CUST_0269,PROD_ART_009,2024-01-12,4,37.8,151.2,In-store
TXN_000240,CUST_0140,PROD_ART_008,2024-05-23,1,66.76,66.76,Online
TXN_000241,CUST_0544,PROD_ART_018,2024-10-18,2,48.18,96.36,Online
TXN_000242,CUST_0332,PROD_EXH_007,2024-03-19,1,22.12,22.12,Online
TXN_000243,CUST_0113,PROD_EXH_019,2024-10-18,1,28.51,28.51,Online
TXN_000244,CUST_0563,PROD_EXH_025,2024-05-10,1,16.1,16.1,In-store
TXN_000245,CUST_0472,PROD_MER_020,2024-10-20,2,25.66,51.32,Online
TXN_000246,CUST_0644,PROD_EXH_050,2024-11-09,2,32.89,65.78,In-store
TXN_000247,CUST_0183,PROD_ART_050,2024-04-30,3,29.52,88.56,In-store
TXN_000248,CUST_0099,PROD_ART_004,2024-09-25,4,63.18,252.72,In-store
TXN_000249,CUST_0340,PROD_MER_030,2024-04-03,1,18.84,18.84,In-store
TXN_000250,CUST_0254,PROD_ART_047,2024-02-06,1,72.77,72.77,In-store
TXN_000251,CUST_0330,PROD_ART_014,2024-04-14,1,50.32,50.32,Online
TXN_000252,CUST_0316,PROD_MER_025,2024-10-30,1,28.27,28.27,In-store
TXN_000253,CUST_0060,PROD_MER_003,2024-12-04,2,33.9,67.8,In-store
TXN_000254,CUST_0008,PROD_EXH_040,2024-03-21,1,35.24,35.24,In-store
TXN_000255,CUST_0399,PROD_MER_014,2024-06-04,1,30.67,30.67,In-store
TXN_000256,CUST_0026,PROD_EXH_035,2024-10-03,2,28.52,57.04,In-store
TXN_000257,CUST_0120,PROD_ART_028,2024-09-03,1,54.74,54.74,In-store
TXN_000258,CUST_0652,PROD_MER_023,2024-03-26,1,25.59,25.59,In-store
TXN_000259,CUST_0081,PROD_MER_009,2024-05-10,1,23.54,23.54,Online
TXN_000260,CUST_0463,PROD_LIM_037,2024-07-18,1,396.29,396.29,In-store
TXN_000261,CUST_0394,PROD_EXH_025,2024-03-12,1,16.1,16.1,In-store
TXN_000262,CUST_0089,PROD_MER_039,2024-09-26,1,19.38,19.38,Online
TXN_000263,CUST_0422,PROD_EXH_029,2024-06-13,2,39.5,79.0,In-store
TXN_000264,CUST_0481,PROD_MER_014,2024-09-10,1,30.67,30.67,In-store
TXN_000265,CUST_0053,PROD_MER_043,2024-06-04,1,31.64,31.64,In-store
TXN_000266,CUST_0559,PROD_ART_035,2024-01-02,1,73.25,73.25,In-store
TXN_000267,CUST_0242,PROD_MER_024,2024-09-04,1,25.52,25.52,In-store
TXN_000268,CUST_0187,PROD_EXH_013,2024-04-17,2,23.07,46.14,In-store
TXN_000269,CUST_0685,PROD_ART_046,2024-01-09,3,75.03,225.09,Online
TXN_000270,CUST_0323,PROD_EXH_024,2024-02-11,1,16.48,16.48,In-store
TXN_000271,CUST_0208,PROD_ART_034,2024-11-26,1,27.65,27.65,In-store
TXN_000272,CUST_0682,PROD_EXH_041,2024-10-28,1,39.71,39.71,In-store
TXN_000273,CUST_0174,PROD_EXH_018,2024-02-17,2,23.3,46.6,In-store
TXN_000274,CUST_0068,PROD_ART_036,2024-03-03,1,61.73,61.73,In-store
TXN_000275,CUST_0618,PROD_ART_034,2024-01-21,3,27.65,82.95,In-store
TXN_000276,CUST_0064,PROD_ART_015,2024-01-06,2,32.09,64.18,Online
TXN_000277,CUST_0381,PROD_EXH_031,2024-03-06,1,30.95,30.95,Online
TXN_000278,CUST_0106,PROD_MER_006,2024-03-19,2,34.6,69.2,Online
TXN_000279,CUST_0523,PROD_ART_026,2024-04-29,2,73.0,146.0,In-store
TXN_000280,CUST_0337,PROD_ART_036,2024-10-18,4,61.73,246.92,In-store
TXN_000281,CUST_0123,PROD_EXH_037,2024-09-09,1,27.65,27.65,In-store
TXN_000282,CUST_0428,PROD_MER_040,2024-10-23,2,15.08,30.16,In-store
TXN_000283,CUST_0792,PROD_ART_036,2024-10-21,1,61.73,61.73,In-store
TXN_000284,CUST_0797,PROD_ART_024,2024-04-27,1,77.95,77.95,In-store
TXN_000285,CUST_0130,PROD_LIM_003,2024-03-16,1,637.4,637.4,In-store
TXN_000286,CUST_0614,PROD_MER_042,2024-07-15,2,22.78,45.56,Online
TXN_000287,CUST_0371,PROD_ART_004,2024-08-26,1,63.18,63.18,In-store
TXN_000288,CUST_0321,PROD_MER_033,2024-10-07,1,11.44,11.44,In-store
TXN_000289,CUST_0464,PROD_EXH_046,2024-08-04,1,41.15,41.15,In-store
TXN_000290,CUST_0005,PROD_LIM_023,2024-10-30,2,329.0,658.0,In-store
TXN_000291,CUST_0643,PROD_ART_002,2024-05-03,1,71.04,71.04,In-store
TXN_000292,CUST_0327,PROD_EXH_037,2024-06-09,1,27.65,27.65,In-store
TXN_000293,CUST_0628,PROD_LIM_026,2024-01-16,1,684.57,684.57,Online
TXN_000294,CUST_0356,PROD_ART_041,2024-07-28,1,79.75,79.75,In-store
TXN_000295,CUST_0627,PROD_MER_019,2024-09-02,1,24.57,24.57,In-store
TXN_000296,CUST_0147,PROD_EXH_039,2024-11-18,2,36.42,72.84,In-store
TXN_000297,CUST_0631,PROD_ART_040,2024-03-22,3,48.61,145.83,Online
TXN_000298,CUST_0533,PROD_LIM_021,2024-11-08,1,401.81,401.81,In-store
TXN_000299,CUST_0479,PROD_MER_047,2024-03-31,1,15.01,15.01,Online
TXN_000300,CUST_0268,PROD_ART_041,2024-09-01,3,79.75,239.25,In-store
TXN_000301,CUST_0482,PROD_LIM_017,2024-10-15,1,741.59,741.59,In-store
TXN_000302,CUST_0493,PROD_ART_027,2024-09-23,2,37.01,74.02,Online
TXN_000303,CUST_0130,PROD_ART_039,2024-10-01,1,68.7,68.7,In-store
TXN_000304,CUST_0646,PROD_MER_028,2024-10-06,1,13.31,13.31,In-store
TXN_000305,CUST_0324,PROD_MER_025,2024-04-12,1,28.27,28.27,In-store
TXN_000306,CUST_0606,PROD_ART_049,2024-04-26,3,53.46,160.38,In-store
TXN_000307,CUST_0144,PROD_EXH_045,2024-07-26,1,16.79,16.79,In-store
TXN_000308,CUST_0504,PROD_EXH_022,2024-06-18,1,32.73,32.73,In-store
TXN_000309,CUST_0609,PROD_MER_042,2024-05-07,1,22.78,22.78,In-store
TXN_000310,CUST_0148,PROD_EXH_033,2024-09-22,1,15.89,15.89,In-store
TXN_000311,CUST_0039,PROD_EXH_001,2024-09-01,2,28.04,56.08,Online
TXN_000312,CUST_0187,PROD_EXH_038,2024-07-23,1,41.47,41.47,Online
TXN_000313,CUST_0669,PROD_EXH_024,2024-09-30,1,16.48,16.48,In-store
TXN_000314,CUST_0047,PROD_EXH_005,2024-03-18,1,33.94,33.94,In-store
TXN_000315,CUST_0369,PROD_ART_024,2024-11-18,2,77.95,155.9,In-store
